,a,b,c
160701,2,2,1
莱格,2,2,1
300139,2,2,1
惠瑞,2,3,0.666666667
安鑫家纺,2,8,0.25
翰鼎,2,2,1
美国联邦,2,3,0.666666667
马进,2,2,1
杉源,2,9,0.222222222
安鹭,2,2,1
一定,2,8,0.25
赵伟平,2,6,0.333333333
永葆,2,8,0.25
瑞鸿,2,5,0.4
德维,2,4,0.5
优越,2,2,1
德升,2,4,0.5
直至,2,20,0.1
齐重,2,14,0.142857143
IN,2,5,0.4
ALL,2,5,0.4
江夏,2,5,0.4
6.62,2,7,0.285714286
300104,2,13,0.153846154
取暖,2,4,0.5
沪通,2,6,0.333333333
能创,2,2,1
300612,2,3,0.666666667
SHUNYA,2,2,1
译,2,2,1
品推宝,2,2,1
金赋,2,5,0.4
百旺,2,3,0.666666667
华帝燃,2,2,1
秉琨,2,3,0.666666667
粤港,2,5,0.4
张志浩,2,9,0.222222222
章锋,2,7,0.285714286
孔飙,2,6,0.333333333
中恒博瑞,2,7,0.285714286
邢文,2,6,0.333333333
飚,2,7,0.285714286
杨德广,2,6,0.333333333
文庙,2,2,1
今三,2,5,0.4
爱威,2,6,0.333333333
黄晓光,2,3,0.666666667
美丰梅,2,3,0.666666667
阆中,2,2,1
活性剂,2,2,1
颜静刚,2,9,0.222222222
高田,2,3,0.666666667
希努,2,8,0.25
麦地,2,15,0.133333333
柏果,2,14,0.142857143
曲,2,8,0.25
黄钰昌,2,6,0.333333333
刘永祥,2,10,0.2
享,2,3,0.666666667
安定,2,3,0.666666667
权绍宁,2,6,0.333333333
还本付息,2,10,0.2
张金泽,2,3,0.666666667
郭亚雄,2,6,0.333333333
姚宝敬,2,5,0.4
范建林,2,6,0.333333333
肖强,2,6,0.333333333
潘桦,2,10,0.2
六禾,2,2,1
长寿,2,8,0.25
王宜明,2,2,1
玉斌,2,10,0.2
索有瑞,2,7,0.285714286
李小平,2,10,0.2
755,2,11,0.181818182
先锋网,2,3,0.666666667
中芯铭弈,2,4,0.5
英卡,2,5,0.4
三旗,2,2,1
硅砖,2,2,1
福抗,2,3,0.666666667
170772,2,2,1
2548,2,2,1
太阳宫,2,9,0.222222222
为福抗,2,5,0.4
46.40%,2,3,0.666666667
徐绍宏,2,3,0.666666667
徐继强,2,3,0.666666667
顾中宪,2,12,0.166666667
有巢氏,2,9,0.222222222
华韩,2,6,0.333333333
棉四,2,2,1
石岩,2,7,0.285714286
14.50%,2,2,1
北鸥,2,3,0.666666667
延华高金,2,5,0.4
刘伯哲,2,4,0.5
翁志勇,2,2,1
昂展,2,12,0.166666667
怀柔,2,5,0.4
瑞福祥,2,3,0.666666667
向大新,2,3,0.666666667
GSL,2,2,1
科立鑫,2,2,1
779,2,2,1
信成,2,5,0.4
Platmin,2,2,1
礼县,2,10,0.2
煤制气,2,6,0.333333333
富升,2,4,0.5
吉通,2,6,0.333333333
康先,2,5,0.4
翰晟携创,2,10,0.2
金舜,2,4,0.5
预备,2,2,1
李和渝,2,5,0.4
荣富,2,7,0.285714286
对常林,2,7,0.285714286
徐坚,2,7,0.285714286
盾安冷链,2,2,1
駹,2,12,0.166666667
骆家,2,12,0.166666667
天吻,2,17,0.117647059
娇颜,2,17,0.117647059
鑫润,2,8,0.25
格拉,2,7,0.285714286
东银置,2,3,0.666666667
66,2,13,0.153846154
股票买卖,2,18,0.111111111
电燃,2,2,1
90.09%,2,2,1
品筑,2,2,1
国展,2,4,0.5
153,2,3,0.666666667
同原,2,2,1
中国电子进出口总公司,2,2,1
吴井,2,4,0.5
任丽华,2,2,1
300144,2,4,0.5
VBCN,2,2,1
李丽,2,9,0.222222222
张会生,2,7,0.285714286
瑞菱,2,2,1
亚逊,2,3,0.666666667
税军,2,3,0.666666667
周新虎,2,3,0.666666667
郭蕙宾,2,7,0.285714286
为云,2,2,1
谢林平,2,7,0.285714286
王永炎,2,3,0.666666667
328,2,4,0.5
安瀛,2,2,1
恒卓,2,2,1
星居,2,6,0.333333333
酷友,2,3,0.666666667
条屏,2,2,1
条锥线,2,2,1
STN,2,6,0.333333333
方怀宇,2,6,0.333333333
雅芳,2,6,0.333333333
SMGP,2,2,1
张玉卿,2,5,0.4
曲付江,2,2,1
353,2,2,1
新南威尔士,2,3,0.666666667
杨金观,2,5,0.4
钱明杰,2,7,0.285714286
中美,2,4,0.5
出售摊,2,41,0.048780488
沟通交流,2,4,0.5
盱眙,2,5,0.4
观日路,2,4,0.5
中敏,2,3,0.666666667
蔡志平,2,3,0.666666667
恒山,2,4,0.5
杨淑,2,4,0.5
焦岩岩,2,2,1
软装,2,3,0.666666667
首汽,2,10,0.2
解压,2,2,1
2598,2,2,1
协众,2,4,0.5
明天,2,10,0.2
健顺王,2,3,0.666666667
海洋渔业,2,2,1
王洪祥,2,2,1
单身公寓,2,2,1
刘永朱,2,2,1
奚志伟,2,6,0.333333333
魏晓源,2,2,1
苏武,2,17,0.117647059
江洋,2,8,0.25
银燕,2,6,0.333333333
沿街,2,2,1
178,2,2,1
轻微,2,2,1
狼旗,2,6,0.333333333
陈礼,2,5,0.4
璠,2,5,0.4
铂亚,2,8,0.25
郝吉明,2,7,0.285714286
常程康,2,4,0.5
佳纳,2,12,0.166666667
掌维,2,6,0.333333333
泰拳,2,3,0.666666667
宽体,2,3,0.666666667
鬃岭,2,2,1
及售後租,2,2,1
镇兴,2,2,1
B8,2,2,1
坝田,2,2,1
马蔚华,2,2,1
彩电,2,8,0.25
场馆,2,3,0.666666667
资环拟,2,4,0.5
冰火,2,3,0.666666667
纳图兹,2,3,0.666666667
莱蒙,2,3,0.666666667
梁平,2,2,1
三架,2,2,1
航油,2,8,0.25
邹志波,2,2,1
2717,2,6,0.333333333
旅科,2,2,1
和文,2,2,1
辽港,2,2,1
300220,2,3,0.666666667
首茂城,2,5,0.4
郭康贤,2,6,0.333333333
黑山,2,2,1
工业生产,2,2,1
151424,2,6,0.333333333
83.34%,2,2,1
石灰,2,6,0.333333333
杜传利,2,9,0.222222222
石灰窑,2,3,0.666666667
套筒,2,2,1
射阳,2,5,0.4
672,2,5,0.4
朱晓天,2,7,0.285714286
孟买,2,2,1
慧富,2,2,1
巨巢,2,2,1
华纶,2,8,0.25
CattleHillWindFarm,2,2,1
火灾保险,2,7,0.285714286
对光,2,7,0.285714286
王殿祥,2,6,0.333333333
陈东升,2,2,1
蓝仲凯,2,2,1
筹集资金,2,8,0.25
2388,2,4,0.5
戚聿东,2,3,0.666666667
诚兴,2,3,0.666666667
主承销,2,4,0.5
德同,2,5,0.4
培生,2,2,1
维拓,2,2,1
泽信,2,3,0.666666667
潘健勇,2,2,1
整流器,2,5,0.4
叶翔,2,6,0.333333333
供电系统,2,5,0.4
热能设备,2,2,1
148,2,3,0.666666667
邓攀,2,4,0.5
原盐,2,3,0.666666667
陟,2,2,1
玻纤布,2,7,0.285714286
张沛,2,2,1
收尘,2,2,1
杨平波,2,4,0.5
东宁,2,4,0.5
东泽,2,3,0.666666667
和锐,2,10,0.2
苏显泽,2,2,1
珊瑚,2,3,0.666666667
窑尾,2,2,1
东尚,2,2,1
深州,2,7,0.285714286
淳安,2,6,0.333333333
滨绿,2,5,0.4
对阳,2,13,0.153846154
183,2,2,1
兴利,2,4,0.5
瑞兆,2,5,0.4
事农,2,9,0.222222222
唐武军,2,4,0.5
张洪民,2,4,0.5
威博,2,4,0.5
172309,2,4,0.5
丰联,2,4,0.5
Spartek,2,3,0.666666667
冯强,2,2,1
1001001,2,2,1
亚会,2,2,1
高台县,2,2,1
别力,2,3,0.666666667
九胜,2,2,1
哲珲,2,2,1
葛化,2,7,0.285714286
研究室,2,5,0.4
思立,2,2,1
思立微,2,2,1
三协,2,9,0.222222222
邹家,2,2,1
第一百,2,8,0.25
沣,2,11,0.181818182
力拓,2,6,0.333333333
张东辉,2,5,0.4
王丹及,2,2,1
浙证债,2,12,0.166666667
原浆,2,3,0.666666667
宣化区,2,2,1
钟剑,2,4,0.5
奇维,2,3,0.666666667
港埠,2,5,0.4
低密度,2,2,1
QL,2,2,1
商代,2,4,0.5
古台,2,2,1
科尔沁右翼前旗,2,2,1
德瑞宝,2,8,0.25
易田,2,6,0.333333333
颗粒剂,2,2,1
牛业,2,5,0.4
紫宸,2,4,0.5
津南区,2,2,1
谷胱甘肽,2,5,0.4
亿袋,2,2,1
735,2,4,0.5
抚育,2,3,0.666666667
华都,2,5,0.4
私享,2,6,0.333333333
杨晓光,2,4,0.5
大小,2,5,0.4
300742,2,2,1
安宁,2,16,0.125
扎赉诺尔,2,2,1
公共设施,2,6,0.333333333
二连浩特市,2,3,0.666666667
梁云凤,2,6,0.333333333
唐诺,2,8,0.25
邓甲村,2,3,0.666666667
低价,2,5,0.4
SJI,2,2,1
庆汇,2,15,0.133333333
徐朝红,2,3,0.666666667
申昌,2,3,0.666666667
继教网,2,5,0.4
向永亨,2,2,1
陆仁忠,2,5,0.4
300023,2,6,0.333333333
赛弗,2,2,1
镁铝合金,2,2,1
李镜,2,4,0.5
工地,2,2,1
行车,2,4,0.5
深秦,2,5,0.4
核孔,2,2,1
徐汇区,2,5,0.4
轻亚,2,2,1
鸿晓,2,4,0.5
博威康,2,3,0.666666667
延伸段,2,2,1
WS5,2,2,1
188S,2,2,1
高美萍,2,7,0.285714286
潘政,2,2,1
越洋,2,2,1
加码,2,2,1
富洋,2,2,1
顺达,2,15,0.133333333
董静,2,14,0.142857143
小金,2,5,0.4
育菇,2,2,1
美瑞,2,3,0.666666667
鼎世,2,2,1
镇坪县,2,2,1
迎新,2,3,0.666666667
坎,2,2,1
托普,2,6,0.333333333
阿尔登,2,2,1
钰,2,5,0.4
王肖健,2,3,0.666666667
液氯,2,2,1
张立波,2,3,0.666666667
姜继森,2,4,0.5
畏原药,2,2,1
税种,2,21,0.095238095
张玉周,2,5,0.4
96.34%,2,2,1
向久联,2,2,1
黄河三角洲,2,3,0.666666667
杨骅,2,4,0.5
2515,2,7,0.285714286
论坛,2,2,1
新晋,2,4,0.5
仪电思佰益,2,2,1
清收,2,7,0.285714286
Biomedicals,2,3,0.666666667
SoC,2,5,0.4
母料,2,3,0.666666667
朱学忠,2,2,1
挤色,2,3,0.666666667
常升,2,3,0.666666667
王华平,2,8,0.25
徐俊,2,5,0.4
维拉,2,5,0.4
Enertechno,2,2,1
陶一,2,2,1
周宁县,2,2,1
天池,2,15,0.133333333
HD,2,6,0.333333333
伍景玉,2,2,1
李品友,2,2,1
2760,2,2,1
刚权,2,2,1
中免,2,13,0.153846154
外供,2,7,0.285714286
家电产品,2,6,0.333333333
153176,2,2,1
杨海英,2,5,0.4
章村,2,2,1
宽城,2,11,0.181818182
洪泽,2,4,0.5
易定友,2,2,1
澄江县,2,6,0.333333333
教育部,2,5,0.4
163034,2,2,1
李致堂,2,7,0.285714286
陈茂浏,2,2,1
锦绣大地,2,7,0.285714286
世博会,2,7,0.285714286
张国生,2,7,0.285714286
郑基,2,3,0.666666667
2017.09,2,4,0.5
雅迪,2,2,1
冯羽涛,2,5,0.4
庭审,2,2,1
尽快,2,9,0.222222222
输送带,2,8,0.25
吴镝,2,12,0.166666667
健隆达,2,3,0.666666667
顺辰,2,3,0.666666667
佑,2,5,0.4
羡永彪,2,5,0.4
乐杨,2,4,0.5
王正锋,2,4,0.5
德豪,2,12,0.166666667
棠棣,2,13,0.153846154
欧珠永青,2,2,1
乔冠芳,2,2,1
何沛,2,10,0.2
泸溪县,2,3,0.666666667
浦市,2,2,1
李陵申,2,3,0.666666667
江河源,2,2,1
佟琼,2,5,0.4
密封胶,2,3,0.666666667
煤安,2,3,0.666666667
创威,2,3,0.666666667
许良虎,2,5,0.4
顾其荣,2,7,0.285714286
石油大学,2,5,0.4
华简式,2,2,1
第二十四届,2,3,0.666666667
浩诚,2,2,1
马慧仙,2,4,0.5
田永鑫,2,5,0.4
晓奥堃鑫,2,4,0.5
非布,2,3,0.666666667
吨索,2,3,0.666666667
160,2,9,0.222222222
庞丰,2,5,0.4
尉氏县,2,4,0.5
行力,2,7,0.285714286
兑换,2,4,0.5
博方,2,2,1
福清市,2,12,0.166666667
黄埔,2,15,0.133333333
给力,2,4,0.5
聚电,2,5,0.4
袁会权,2,3,0.666666667
林燕菁,2,2,1
王刚,2,4,0.5
李静,2,2,1
氟化,2,5,0.4
荣冠,2,2,1
岳衡,2,12,0.166666667
百江,2,2,1
液化气,2,6,0.333333333
协合,2,40,0.05
282,2,3,0.666666667
300176,2,3,0.666666667
重载,2,8,0.25
汪龙生,2,2,1
孔令刚,2,2,1
丁贵明,2,2,1
全家,2,2,1
磁系,2,7,0.285714286
徐斌,2,3,0.666666667
正和东,2,2,1
天研,2,4,0.5
刘新,2,4,0.5
赵晓光,2,4,0.5
牛秋芳,2,3,0.666666667
对翔通,2,2,1
印永业,2,3,0.666666667
丰立,2,2,1
孙军,2,4,0.5
钱学仁,2,3,0.666666667
世伟,2,4,0.5
拜仁达坝,2,3,0.666666667
恒强,2,2,1
小企业,2,10,0.2
韩保江,2,3,0.666666667
陈重,2,12,0.166666667
2496,2,7,0.285714286
杨成,2,6,0.333333333
徐百,2,2,1
农佳乐,2,2,1
郑欣淳,2,2,1
戴志文,2,2,1
Highlands,2,8,0.25
百分之四十九,2,3,0.666666667
陶冲,2,2,1
王滩,2,4,0.5
六堂,2,4,0.5
2207,2,11,0.181818182
蓉生,2,14,0.142857143
150304,2,4,0.5
宏天,2,2,1
Greatoo,2,4,0.5
India,2,4,0.5
赵战生,2,6,0.333333333
伺服,2,4,0.5
驱动器,2,2,1
系列化,2,3,0.666666667
戈俊,2,3,0.666666667
王典,2,6,0.333333333
颜华,2,5,0.4
贾登勋,2,7,0.285714286
何积丰,2,7,0.285714286
枫阳,2,2,1
张卓,2,4,0.5
大田,2,3,0.666666667
信康,2,3,0.666666667
沈体,2,3,0.666666667
记港陆,2,2,1
年国,2,5,0.4
拨,2,6,0.333333333
尚颀,2,2,1
军械,2,2,1
弘汉,2,6,0.333333333
巨泰,2,6,0.333333333
汇协,2,2,1
省道,2,14,0.142857143
亿群,2,2,1
郑钢,2,2,1
刘素,2,2,1
信辉,2,2,1
张崇久,2,2,1
银联卡,2,6,0.333333333
吕振勇,2,4,0.5
宝鸟,2,4,0.5
部及,2,4,0.5
火车,2,5,0.4
海勃湾,2,5,0.4
蒙华,2,4,0.5
烯基,2,2,1
2O14,2,7,0.285714286
李勉,2,3,0.666666667
山居,2,5,0.4
世界银行,2,4,0.5
威宁,2,6,0.333333333
宁河,2,5,0.4
招债,2,3,0.666666667
骆国良,2,5,0.4
郑伟文,2,4,0.5
160618,2,4,0.5
适格性,2,2,1
3.9,2,3,0.666666667
金伦,2,6,0.333333333
快云,2,6,0.333333333
预盈及,2,2,1
兆荣,2,8,0.25
vision,2,6,0.333333333
周含军,2,10,0.2
叶忠为,2,6,0.333333333
滚装,2,7,0.285714286
客货,2,3,0.666666667
152904,2,4,0.5
精煤,2,14,0.142857143
湘江,2,10,0.2
重金属,2,8,0.25
石门,2,14,0.142857143
品松,2,2,1
宝来,2,6,0.333333333
圣礼,2,4,0.5
魏家,2,9,0.222222222
金兆秀,2,6,0.333333333
聚睿,2,2,1
星晖,2,2,1
承远,2,4,0.5
热灌装,2,8,0.25
债自,2,19,0.105263158
钻井,2,5,0.4
涂健,2,4,0.5
啤酒瓶,2,3,0.666666667
枣木路,2,2,1
航联电,2,4,0.5
东源县,2,4,0.5
西门,2,4,0.5
龙青,2,2,1
县级,2,4,0.5
光彩,2,6,0.333333333
牛栏山,2,4,0.5
王炳明,2,3,0.666666667
庐阳区,2,2,1
联通公司,2,6,0.333333333
161087,2,2,1
161395,2,2,1
西双版纳,2,6,0.333333333
170266,2,2,1
联接,2,2,1
德莱斯,2,2,1
云房,2,6,0.333333333
陈贺,2,5,0.4
8.90%,2,2,1
士兵,2,3,0.666666667
曹永长,2,6,0.333333333
苏历铭,2,6,0.333333333
曾旗,2,4,0.5
盘亏,2,4,0.5
旗计,2,9,0.222222222
及用,2,5,0.4
程明,2,2,1
张泽传,2,5,0.4
沂南,2,3,0.666666667
三特古,2,2,1
洛玻硅砂,2,3,0.666666667
对山鹰,2,3,0.666666667
御兽,2,2,1
张景升,2,5,0.4
转托管,2,4,0.5
王扬,2,3,0.666666667
王者,2,5,0.4
曹红文,2,2,1
好望角,2,2,1
华邑,2,4,0.5
融德,2,3,0.666666667
苏尼特,2,8,0.25
引发,2,4,0.5
鼎铭,2,6,0.333333333
李映,2,3,0.666666667
银欣隆,2,2,1
宝新丽,2,2,1
李冬梅,2,5,0.4
郭萍,2,4,0.5
二铵,2,2,1
荣朝,2,4,0.5
锦康,2,2,1
正气,2,5,0.4
双沟,2,7,0.285714286
李鸿春,2,2,1
九家,2,9,0.222222222
等离子体,2,2,1
141213,2,2,1
阿依达,2,2,1
大路,2,12,0.166666667
龙通,2,3,0.666666667
林涵,2,6,0.333333333
同昆,2,2,1
防洪,2,4,0.5
持本,2,4,0.5
张再,2,6,0.333333333
王卫,2,2,1
慧联,2,2,1
掌上明珠,2,4,0.5
天松,2,2,1
三井,2,8,0.25
陆韧,2,2,1
贾岭,2,4,0.5
凯富,2,2,1
叶博辉,2,2,1
谭忠富,2,2,1
临桂,2,2,1
誉天,2,8,0.25
藿香,2,4,0.5
研究进展,2,5,0.4
药制剂,2,4,0.5
张腾文,2,8,0.25
销毁,2,3,0.666666667
碳化物,2,3,0.666666667
国镜,2,3,0.666666667
穆良平,2,5,0.4
礼华,2,2,1
祁南,2,2,1
投资区,2,2,1
澫,2,2,1
72.90%,2,2,1
蒲庙,2,6,0.333333333
171956,2,2,1
政泉,2,12,0.166666667
东站,2,8,0.25
芦岭,2,2,1
倚天,2,2,1
李文智,2,6,0.333333333
乳头,2,4,0.5
587,2,2,1
宾阳县,2,6,0.333333333
许疃,2,2,1
2025,2,7,0.285714286
离心机,2,8,0.25
祁东县,2,3,0.666666667
蓝标债,2,4,0.5
汪波,2,4,0.5
火,2,3,0.666666667
崇阳县,2,2,1
水上运动,2,3,0.666666667
区雁洋镇,2,2,1
百白破,2,6,0.333333333
涂书田,2,3,0.666666667
陈辉明,2,7,0.285714286
华刚,2,7,0.285714286
打通,2,2,1
晶环,2,5,0.4
博安,2,2,1
油井,2,5,0.4
高纯度,2,3,0.666666667
中一,2,16,0.125
邓州市,2,2,1
押汇,2,2,1
桃园,2,3,0.666666667
扶助,2,2,1
袁店,2,2,1
科化拟,2,3,0.666666667
副产品,2,6,0.333333333
屯,2,28,0.071428571
151079,2,2,1
GRGI,2,3,0.666666667
二桥,2,3,0.666666667
减产,2,11,0.181818182
南糖,2,2,1
瘤,2,4,0.5
糖纸,2,6,0.333333333
南院,2,4,0.5
宝武,2,2,1
大件,2,4,0.5
胜港,2,7,0.285714286
青东,2,2,1
三零盛安,2,11,0.181818182
海孜,2,2,1
金融城,2,4,0.5
717,2,3,0.666666667
总量,2,11,0.181818182
歌声,2,2,1
来凤县,2,2,1
慧博,2,2,1
投资国,2,10,0.2
高纯氯,2,7,0.285714286
鑫元,2,6,0.333333333
马尾区,2,2,1
科卢,2,3,0.666666667
轮状,2,2,1
胃病,2,7,0.285714286
上海市第一中级人民法院,2,7,0.285714286
桩基,2,2,1
2161,2,3,0.666666667
樊旭文,2,2,1
300392,2,2,1
值尚,2,5,0.4
微软公司,2,3,0.666666667
挂帐,2,7,0.285714286
京唐,2,23,0.086956522
赠予,2,6,0.333333333
国晋,2,2,1
鼎源,2,5,0.4
罗瑶,2,5,0.4
对三诺,2,4,0.5
一事,2,2,1
172110,2,2,1
涟水县,2,3,0.666666667
五价,2,2,1
敦化市,2,11,0.181818182
遵化市,2,2,1
陈恂,2,2,1
韦齐,2,3,0.666666667
临空,2,6,0.333333333
苏家屯区,2,3,0.666666667
纪立农,2,7,0.285714286
刘贵彬,2,4,0.5
下线,2,11,0.181818182
三零瑞通,2,8,0.25
隆回县,2,2,1
绝缘材料,2,8,0.25
安仁县,2,3,0.666666667
母牛,2,3,0.666666667
盈行,2,2,1
茶陵县,2,9,0.222222222
海圣,2,3,0.666666667
优邦,2,8,0.25
分枝杆菌,2,3,0.666666667
上海市工商局,2,2,1
人群,2,2,1
依索,2,15,0.133333333
任刚,2,2,1
智创,2,10,0.2
雨林,2,4,0.5
衡兴,2,2,1
陆玖,2,2,1
南陵县,2,2,1
沃尔塔,2,15,0.133333333
信号灯,2,3,0.666666667
张国煊,2,3,0.666666667
赛恩水业,1,5,0.2
医亿,1,1,1
齐大辉,1,1,1
康柏,1,1,1
美冠科,1,1,1
53.33%,1,2,0.5
汇泽,1,2,0.5
妳,1,1,1
柏生,1,1,1
西湖区,1,2,0.5
颐华卓,1,1,1
务所,1,1,1
农产,1,1,1
方加春,1,6,0.166666667
赵兴龙,1,1,1
李忠,1,4,0.25
海秀,1,1,1
潞宁,1,5,0.2
赛恩,1,1,1
废旧,1,25,0.04
快速路,1,4,0.25
津美,1,2,0.5
绿筑光,1,4,0.25
为潞宁,1,1,1
石城县,1,2,0.5
华创毅,1,1,1
该红股,1,1,1
北旅,1,5,0.2
巨业,1,2,0.5
海石,1,2,0.5
生医,1,1,1
派驻,1,1,1
同桌,1,1,1
京丰,1,4,0.25
公文,1,2,0.5
INGBankN,1,4,0.25
无棣县,1,2,0.5
余吾,1,3,0.333333333
Y2,1,5,0.2
Y3,1,5,0.2
蕴椿,1,1,1
孟家,1,1,1
两片,1,1,1
Y4,1,5,0.2
会次,1,3,0.333333333
更替,1,3,0.333333333
两金,1,1,1
唐运平,1,3,0.333333333
2134,1,2,0.5
中进,1,2,0.5
霍尼韦尔,1,4,0.25
油船,1,2,0.5
901.8302,1,1,1
机智,1,4,0.25
台湾地区,1,4,0.25
为国,1,1,1
吉森,1,3,0.333333333
漠尔通,1,1,1
连州,1,4,0.25
处理程序,1,3,0.333333333
硫酸亚铁,1,1,1
智能网,1,3,0.333333333
水潭,1,2,0.5
黄亚钧,1,6,0.166666667
刘正安,1,1,1
鲍仕年,1,1,1
VAR3,1,1,1
PiqlAS,1,1,1
李连军,1,3,0.333333333
天擎,1,4,0.25
汽电,1,3,0.333333333
南投县,1,2,0.5
科美,1,3,0.333333333
石蕊,1,1,1
黄珺,1,3,0.333333333
赖轶峰,1,1,1
漳洲,1,1,1
杨希光,1,4,0.25
骏益,1,2,0.5
网银,1,1,1
业大,1,2,0.5
SIGG,1,3,0.333333333
园中,1,4,0.25
宁能,1,1,1
宫月云,1,1,1
达尔文,1,3,0.333333333
雷鑑铭,1,2,0.5
唐艳玲,1,1,1
巨单,1,1,1
济泰路,1,1,1
百诺泰,1,1,1
LQTJ,1,1,1
赖杰,1,1,1
8.09,1,1,1
6.1,1,2,0.5
全迈捷,1,1,1
岳意定,1,4,0.25
海诺,1,1,1
国汽,1,2,0.5
红梅,1,8,0.125
牛苗青,1,4,0.25
卷绕,1,1,1
泰慈,1,1,1
豫龙,1,2,0.5
李清,1,1,1
王春青,1,1,1
DreamCIS,1,2,0.5
陈奇,1,3,0.333333333
邱淼贵,1,1,1
豫南,1,2,0.5
丰台,1,2,0.5
方与,1,1,1
锐振,1,3,0.333333333
刘双明,1,1,1
徐开,1,2,0.5
金向,1,2,0.5
天膜,1,12,0.083333333
以募,1,5,0.2
3.20%,1,2,0.5
辅,1,1,1
楼宇,1,1,1
徐扬,1,9,0.111111111
刘国恩,1,3,0.333333333
诗玛尔,1,1,1
中昌拟,1,2,0.5
宫岩华,1,3,0.333333333
厨房设施,1,1,1
45.2,1,1,1
肖金明,1,8,0.125
桑日县,1,7,0.142857143
5.23%,1,2,0.5
交流中心,1,1,1
祖龙,1,2,0.5
攻关,1,1,1
宝瑞莱,1,1,1
聚生,1,1,1
邹志文,1,9,0.111111111
348,1,1,1
吴西彬,1,3,0.333333333
琴江,1,4,0.25
彭州市,1,3,0.333333333
活期,1,1,1
刘越,1,4,0.25
一局,1,3,0.333333333
MHRA,1,2,0.5
周夏华,1,1,1
韩咀,1,4,0.25
镇平,1,3,0.333333333
逸帆,1,1,1
景贵飞,1,2,0.5
金楚,1,2,0.5
建校,1,1,1
第七号,1,1,1
放射性,1,2,0.5
捐资,1,3,0.333333333
怀集县,1,3,0.333333333
市价,1,1,1
智库,1,2,0.5
元坝,1,2,0.5
海立田,1,4,0.25
叶林富,1,1,1
钱江四桥,1,1,1
储气,1,3,0.333333333
26000,1,1,1
顺安,1,2,0.5
底盘,1,4,0.25
柳工债,1,6,0.166666667
10000t,1,5,0.2
ROYALE,1,1,1
思对,1,1,1
模板,1,8,0.125
Company100%,1,4,0.25
邬崇国,1,11,0.090909091
IRONMAN,1,1,1
严冬,1,1,1
JMF,1,4,0.25
左德起,1,3,0.333333333
metal,1,4,0.25
海元,1,2,0.5
37.50%,1,2,0.5
孟多酯,1,2,0.5
甲氯芬,1,1,1
..,1,3,0.333333333
中绿,1,7,0.142857143
26000t,1,1,1
竹业,1,1,1
153595,1,2,0.5
陶瓷纤维,1,3,0.333333333
果核,1,1,1
71.60%,1,1,1
PBOC2.0,1,1,1
王丽然,1,1,1
友阿奥,1,1,1
正定,1,3,0.333333333
窗,1,2,0.5
钴粉,1,1,1
镇远县,1,1,1
人诚通,1,1,1
彭君为,1,2,0.5
龚伦勇,1,5,0.2
电积,1,2,0.5
链潮,1,1,1
王百东,1,1,1
氧化钴,1,3,0.333333333
吴宇,1,1,1
尹飞,1,1,1
柴志勇,1,1,1
经济部,1,2,0.5
百慕大,1,15,0.066666667
郑永刚,1,1,1
三赢,1,1,1
身,1,3,0.333333333
之外,1,4,0.25
王长颖,1,1,1
贝德,1,2,0.5
戴一鸣,1,1,1
道荣,1,1,1
稀土金属,1,1,1
彝族,1,4,0.25
吸热,1,2,0.5
1.92,1,2,0.5
尹秀超,1,4,0.25
输送机,1,2,0.5
包装用,1,4,0.25
膏剂,1,1,1
王春波,1,8,0.125
赵殿,1,5,0.2
PAI,1,3,0.333333333
李武臣,1,6,0.166666667
Peaceful,1,1,1
Art,1,1,1
亿贴,1,2,0.5
信新,1,5,0.2
陈永石,1,1,1
闫阿儒,1,1,1
贾晓钰,1,1,1
虹云,1,2,0.5
挪用,1,6,0.166666667
底格,1,2,0.5
鼎讯,1,1,1
25.47%,1,1,1
懋,1,2,0.5
函询,1,2,0.5
锐懿,1,7,0.142857143
李志宗,1,1,1
文武,1,1,1
沃本,1,1,1
焊条,1,4,0.25
321906,1,1,1
汉鑫,1,2,0.5
军用,1,4,0.25
罚没款,1,1,1
物明,1,1,1
鼎湖区,1,3,0.333333333
人何,1,6,0.166666667
共管,1,7,0.142857143
思模,1,5,0.2
张世东,1,1,1
之子,1,6,0.166666667
江通,1,2,0.5
有恒,1,4,0.25
张忠正,1,2,0.5
12.79%,1,1,1
向准,1,2,0.5
华传,1,1,1
电力系统,1,1,1
Durion,1,1,1
陈有,1,5,0.2
书箱,1,3,0.333333333
蛭石,1,2,0.5
广东省政府,1,1,1
孙响林,1,4,0.25
刘立斌,1,5,0.2
刘资甫,1,1,1
121835,1,1,1
孟钟,1,5,0.2
第一口,1,3,0.333333333
HAHA,1,4,0.25
投锦众,1,1,1
91.26,1,1,1
安发,1,1,1
闵锐,1,7,0.142857143
华基,1,7,0.142857143
获益,1,1,1
润湖,1,2,0.5
神木县,1,2,0.5
Sensor,1,1,1
文一三佳,1,7,0.142857143
常锦,1,1,1
众森,1,4,0.25
深水,1,4,0.25
中国国际旅行社,1,2,0.5
玄武湖,1,1,1
菱洲,1,1,1
总社,1,5,0.2
甘谷,1,1,1
豪富,1,1,1
友佳,1,5,0.2
网箱,1,3,0.333333333
江跃宗,1,1,1
志愿者,1,3,0.333333333
贾广华,1,4,0.25
孙宇辉,1,4,0.25
染整,1,13,0.076923077
金宁满,1,1,1
卢宪斌,1,1,1
桑玉贵,1,3,0.333333333
金喜,1,1,1
